Start Time:  10/1/2018 12:29:40 PM        Time Completed:  10/1/2018 1:38:12 PM     Elapsed Time:  01:08:31
Sample ID:     BFO_425_SV_300K_MvsH_011018

Experiment:    C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.exp
Data File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.txt
Plot File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.stp
VSM Data File: C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.dat

***DATA***

Field(Oe)	 Moment(emu)	 Temperature(K)	
-627.37563 	-0.0012927339 	 300.005 	
-647.37586 	-0.0013182771 	 300.006 	
-667.36898 	-0.0013430609 	 300.007 	
-687.50199 	-0.0013665589 	 300.006 	
-707.56052 	-0.0013886818 	 300.007 	
-727.5456 	-0.0014125483 	 300.008 	
-747.54001 	-0.0014342338 	 300.006 	
-767.55009 	-0.0014621775 	 300.007 	
-787.53892 	-0.0014807818 	 300.006 	
-807.53211 	-0.0015026627 	 300.007 	
-827.52252 	-0.0015245953 	 300.007 	
-847.52063 	-0.0015509235 	 300.007 	
-867.52 	-0.001568193 	 300.007 	
-887.51046 	-0.0015801946 	 300.006 	
-907.50704 	-0.0016035049 	 300.006 	
-927.50289 	-0.0016277645 	 300.005 	
-947.4937 	-0.0016432287 	 300.006 	
-967.49141 	-0.0016633266 	 300.005 	
-987.49221 	-0.0016851553 	 300.004 	
-1146.264 	-0.0018100223 	 300.003 	
-1460.4705 	-0.0020693811 	 300.004 	
-1774.7131 	-0.0023000401 	 300.004 	
-2088.9745 	-0.00247363 	 300.002 	
-2403.2372 	-0.0026950655 	 300.002 	
-2717.4796 	-0.0028632152 	 300.002 	
-3032.545 	-0.0030307402 	 300.001 	
-3349.0768 	-0.0031906343 	 300.002 	
-3663.3298 	-0.0033478728 	 300.002 	
-3977.5618 	-0.0035115638 	 300.003 	
-4291.7882 	-0.0036661954 	 300.001 	
-4606.0445 	-0.0038132276 	 300.003 	
-4920.2806 	-0.0039574267 	 300.004 	
-5234.981 	-0.0041001511 	 300.002 	
-5551.7631 	-0.0042547097 	 300.002 	
-5866.0939 	-0.0043990068 	 300.002 	
-6180.3355 	-0.0045132554 	 300.003 	
-6494.5404 	-0.0046627556 	 300.002 	
-6808.7958 	-0.0048018335 	 300.002 	
-7123.0226 	-0.0049386103 	 300.002 	
-7437.2274 	-0.0050701218 	 300.001 	
-7751.4631 	-0.0052009968 	 300.002 	
-8065.6644 	-0.0053210036 	 300.002 	
-8379.8591 	-0.0054573799 	 300.002 	
-8694.0424 	-0.0055915072 	 300.003 	
-9008.2161 	-0.0057181789 	 300.003 	
-9322.3958 	-0.0058507239 	 300.003 	
-9636.5281 	-0.0059928065 	 300.002 	
-9950.6372 	-0.0061142183 	 300.003 	
-10264.696 	-0.0062454495 	 300.002 	
-10578.772 	-0.0063687809 	 300.003 	
-10892.824 	-0.0065040764 	 300.002 	
-11206.851 	-0.0066254756 	 300.003 	
-11520.854 	-0.0067666461 	 300.002 	
-11834.81 	-0.0068910383 	 300.003 	
-11862.373 	-0.0069462041 	 300.002 	
-11548.321 	-0.0068245192 	 300.004 	
-11233.67 	-0.0067145969 	 300.005 	
-10919.153 	-0.0065949433 	 300.005 	
-10604.7 	-0.0064806509 	 300.006 	
-10290.331 	-0.0063639239 	 300.007 	
-9976.004 	-0.006235522 	 300.007 	
-9661.7698 	-0.0061140564 	 300.006 	
-9347.5209 	-0.0059934927 	 300.007 	
-9033.3543 	-0.0058648626 	 300.009 	
-8719.1893 	-0.0057356224 	 300.008 	
-8405.0385 	-0.0056163669 	 300.008 	
-8090.8681 	-0.0054829101 	 300.009 	
-7776.5448 	-0.0053605213 	 300.01 	
-7462.2545 	-0.0052308335 	 300.01 	
-7147.9629 	-0.0051067773 	 300.009 	
-6833.6859 	-0.0049754219 	 300.009 	
-6519.3767 	-0.0048442087 	 300.01 	
-6205.0936 	-0.0047088434 	 300.009 	
-5890.7923 	-0.0045806314 	 300.008 	
-5574.0497 	-0.0044348753 	 300.009 	
-5259.0762 	-0.0042972676 	 300.007 	
-4944.7944 	-0.0041548507 	 300.007 	
-4630.5089 	-0.0040028884 	 300.007 	
-4316.2453 	-0.003851838 	 300.006 	
-4001.9907 	-0.0037046656 	 300.006 	
-3687.6407 	-0.0035463558 	 300.006 	
-3373.3504 	-0.0033786536 	 300.005 	
-3059.082 	-0.0032229188 	 300.005 	
-2744.78 	-0.0030451941 	 300.003 	
-2430.5229 	-0.0028653716 	 300.005 	
-2116.2408 	-0.0026721869 	 300.004 	
-1801.974 	-0.0024748829 	 300.004 	
-1487.7119 	-0.0022289052 	 300.004 	
-1173.4806 	-0.001973618 	 300.003 	
-1008.053 	-0.0018308332 	 300.001 	
-988.22873 	-0.0018072341 	 299.999 	
-968.23184 	-0.001785765 	 300 	
-948.24454 	-0.0017666219 	 299.998 	
-928.23961 	-0.0017369324 	 299.999 	
-908.2553 	-0.0017140429 	 299.997 	
-888.262 	-0.0016908241 	 299.997 	
-868.26497 	-0.001669195 	 299.995 	
-848.26116 	-0.0016418073 	 299.994 	
-828.25645 	-0.0016274826 	 299.993 	
-808.27892 	-0.0015991717 	 299.994 	
-788.28111 	-0.0015777284 	 299.993 	
-768.28298 	-0.0015548448 	 299.993 	
-748.28885 	-0.0015349186 	 299.992 	
-728.28905 	-0.0015157403 	 299.991 	
-708.29325 	-0.0014887374 	 299.992 	
-688.30116 	-0.001464008 	 299.992 	
-668.1591 	-0.0014409494 	 299.992 	
-648.10695 	-0.0014148069 	 299.993 	
-628.10578 	-0.001391493 	 299.993 	
-608.12097 	-0.0013709148 	 299.994 	
-588.12806 	-0.0013364313 	 299.994 	
-568.13679 	-0.0013135014 	 299.996 	
-548.13935 	-0.0012925783 	 299.996 	
-528.14716 	-0.0012584597 	 299.998 	
-508.13483 	-0.0012383609 	 299.999 	
-488.14247 	-0.001206399 	 299.999 	
-468.15742 	-0.0011766717 	 300 	
-448.17072 	-0.0011450529 	 300 	
-428.15361 	-0.0011215319 	 300.002 	
-408.17576 	-0.0010908544 	 300.002 	
-388.17371 	-0.0010625936 	 300.004 	
-368.17536 	-0.0010353351 	 300.004 	
-348.19337 	-0.00099484221 	 300.006 	
-328.18353 	-0.00095934841 	 300.007 	
-308.05328 	-0.00091887096 	 300.008 	
-288.00121 	-0.00088343654 	 300.008 	
-268.00548 	-0.00084283461 	 300.009 	
-248.00302 	-0.00079995972 	 300.011 	
-228.0085 	-0.00075845432 	 300.011 	
-208.02988 	-0.00071125261 	 300.011 	
-188.02391 	-0.0006603644 	 300.011 	
-168.02392 	-0.00061304079 	 300.01 	
-148.03423 	-0.0005625365 	 300.011 	
-128.03851 	-0.00050230095 	 300.01 	
-108.04743 	-0.00044615176 	 300.011 	
-88.039557 	-0.00038485968 	 300.01 	
-68.045683 	-0.00031479633 	 300.01 	
-48.036097 	-0.00024530902 	 300.009 	
-28.048005 	-0.00016511474 	 300.008 	
-8.0421543 	-0.000086724537 	 300.008 	
 11.950519 	-0.0000072409976 	 300.006 	
 31.953883 	 0.000072516711 	 300.007 	
 51.956681 	 0.00014612613 	 300.005 	
 72.150874 	 0.00021615444 	 300.004 	
 92.137079 	 0.00028271342 	 300.003 	
 112.15111 	 0.00034905677 	 300.003 	
 132.1496 	 0.00040508234 	 300.003 	
 152.14337 	 0.00046381533 	 300.003 	
 172.14583 	 0.00051505792 	 300.001 	
 192.14906 	 0.00056393785 	 300.001 	
 212.14625 	 0.00061272365 	 300 	
 232.14178 	 0.0006524252 	 300.001 	
 252.15016 	 0.00069791524 	 300 	
